,time,periods,phase,amplitude,power,frequencies
0,0,21.217391304347828,5.783579076573197,0.339099220282251,2.605239038799667,0.0471311475409836
1,2,23.130434782608695,0.2177600984124601,0.3468002956300945,2.9706037388318514,0.043233082706766915
2,4,23.130434782608695,0.6814046980903327,0.3686403719424571,3.3565382178765777,0.043233082706766915
3,6,23.130434782608695,1.245357607655796,0.3785797570695364,3.5399781523999234,0.043233082706766915
4,8,23.130434782608695,1.7791110562764356,0.38550220428844606,3.6706209299625314,0.043233082706766915
5,10,23.130434782608695,2.3442227914258518,0.4217159997591066,4.392643539067588,0.043233082706766915
6,12,23.130434782608695,2.8732150208120673,0.4447513199069088,4.8856268814579,0.043233082706766915
7,14,23.130434782608695,3.34070027660596,0.49018171674316335,5.934717109944642,0.043233082706766915
8,16,23.130434782608695,3.8488424092503264,0.5008338362875209,6.195453895652113,0.043233082706766915
9,18,23.130434782608695,4.391518874983531,0.5053624351942491,6.308000492212599,0.043233082706766915
10,20,23.130434782608695,4.944811505634966,0.5160923366469122,6.578708236576143,0.043233082706766915
11,22,23.130434782608695,5.486935230078854,0.5303132992701001,6.946256919084706,0.043233082706766915
12,24,23.130434782608695,6.011746628143677,0.554241866710548,7.587251195460605,0.043233082706766915
13,26,23.130434782608695,0.24948485664513398,0.5181703871097981,6.631793352164979,0.043233082706766915
14,28,23.130434782608695,0.8155652911627534,0.47510151788733657,5.575176759840414,0.043233082706766915
15,30,23.130434782608695,1.3661050136142323,0.4680055665262012,5.409882625472744,0.043233082706766915
16,32,23.130434782608695,1.8775286574559833,0.46721355114117297,5.391587609236213,0.043233082706766915
17,34,23.130434782608695,2.3278130273098463,0.448799702785441,4.9749752734659465,0.043233082706766915
18,36,21.217391304347828,2.9156819746684057,0.4528488448658826,4.646228062355235,0.0471311475409836
19,38,21.217391304347828,3.4350294458416752,0.41708253654746014,3.941286513137029,0.0471311475409836
20,40,21.217391304347828,4.013084958649543,0.4026232585772397,3.6727529297202164,0.0471311475409836
21,42,21.217391304347828,4.604335247220666,0.3855464286070353,3.36780830862376,0.0471311475409836
22,44,23.130434782608695,5.0686878573090155,0.3510227063299411,3.04338030485341,0.043233082706766915
23,46,21.217391304347828,5.739142153065052,0.3523208505416692,2.8123585370218023,0.0471311475409836
24,48,21.217391304347828,5.809219161193058e-05,0.33060740595166294,2.4763906236877684,0.0471311475409836
