"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"route_0_weekend","0.940958878875513","0.984030885926259","24","12.7936843162349","0.000201175473847899","0.116612183719034","0.000201175890816312","0.000201175890816312"
"route_1_weekend","0.973323262178337","0.984030885926259","24","13.0090095865659","0.000174206717667182","0.129796027000113","0.000174206964111683","0.000174206964111683"
"route_2_weekend","0.919092533842779","0.984030885926259","24","11.6679022218655","0.000182343530598854","0.137675647174538","0.000182344814120655","0.000182344814120655"
"route_3_weekend","0.959260564507693","0.984030885926259","24","10.6589590878649","0.000256372787113556","0.140812314368598","0.000256376008104736","0.000256376008104736"
"route_4_weekend","0.846604456063169","0.984030885926259","24","12.7103066102108","0.000365897268197212","0.128712569608515","0.000365898130732822","0.000365898130732822"
"route_5_weekend","0.978753543652104","0.984030885926259","24","12.3384277289153","3.49294807819934e-05","0.0554937042297405","3.4929613906428e-05","3.4929613906428e-05"
"route_0_workday","0.970201026891666","0.984030885926259","24","12.0365122456036","0.000272063556784507","0.122995638968478","0.000272064967155198","0.000272064967155198"
"route_1_workday","0.966044438215169","0.984030885926259","24","13.6215368511934","0.000235779103122995","0.133941851141261","0.000235779152754388","0.000235779152754388"
"route_2_workday","0.984030885926259","0.984030885926259","24","11.02646422744","0.000369386782604775","0.154493061168529","0.000369390674113709","0.000369390674113709"
"route_3_workday","0.957373575956222","0.984030885926259","24","11.3319588159842","0.000777108454842099","0.162166532096434","0.000777115328715623","0.000777115328715623"
"route_4_workday","0.97342192986736","0.984030885926259","24","10.8902132554191","0.000504756800764205","0.147162067803748","0.000504762500067462","0.000504762500067462"
"route_5_workday","0.967481957409381","0.984030885926259","24","12.5971566625883","0.000142503649407384","0.0598943731673322","0.000142504043976619","0.000142504043976619"
