test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
1.0,24.0,3.828454632518487e-07,4.2538384805760967e-07,60.03377749369697,1.0222830338936585e-10,1.1358700376596205e-10,"[41.82972679721701, 78.23782819017691]",2.7158840789511767,5.500778407245543e-69,9.167964012075906e-69,"[2.4126539399116798, 3.0191142179906736]",13.626086975288182
2.0,24.0,1.8412488956618958e-06,1.8412488956618958e-06,20.11033458580153,2.0479225242945056e-09,2.0479225242945056e-09,"[13.534459196941116, 26.68620997466195]",-2.832069808731208,1.2508760650684236e-64,1.786965807240605e-64,"[-3.1590596636639634, -2.5050799537984525]",10.817709821781367
3.0,24.0,1.8053660641291106e-07,2.2567075801613882e-07,39.1960386871817,2.2657007872376572e-11,2.8321259840470715e-11,"[27.709007107351745, 50.68307026701165]",-1.4312224706839505,1.0515035836717129e-21,1.168337315190792e-21,"[-1.7242886060530476, -1.1381563353148534]",5.466867140965103
4.0,24.0,1.2846965829949356e-15,4.282321943316453e-15,76.51717234115281,5.165233276345578e-37,1.7217444254485264e-36,"[64.71826584245858, 88.31607883984705]",2.575163092920331,5.511452094337995e-235,2.7557260471689973e-234,"[2.4209636349726606, 2.729362550868001]",14.163601547853974
5.0,24.0,1.1634950781351368e-09,1.6621358259073385e-09,55.563939127593166,2.3595339104434066e-16,3.3707627292048665e-16,"[42.28666955164577, 68.84120870354056]",-1.6623112191285268,2.491098442017278e-42,3.1138730525215974e-42,"[-1.9012660121905953, -1.4233564260664582]",6.349561139554076
6.0,24.0,4.52786174580642e-18,2.26393087290321e-17,149.44953103615757,7.042019901645246e-50,3.521009950822623e-49,"[129.72348475873434, 169.1755773135808]",1.3340573489321077,2.45720514306767e-87,4.91441028613534e-87,"[1.2020659927822464, 1.466048705081969]",18.904276285185254
7.0,24.0,1.4154514870219122e-13,2.8309029740438244e-13,180.37245544371697,1.702705527822068e-28,3.405411055644136e-28,"[148.4448496878357, 212.30006119959825]",0.32000422448819776,0.00039515604083319796,0.00039515604083319796,"[0.14299490409424268, 0.4970135448821529]",22.777673900697955
8.0,24.0,2.2810746079310743e-13,3.801791013218457e-13,565.7572827539234,1.002581917920165e-27,1.6709698632002753e-27,"[464.1448405895569, 667.3697249182899]",-2.8755077158931823,3.85433871737618e-216,1.2847795724587267e-215,"[-3.0551120184127187, -2.695903413373646]",10.98363040519885
9.0,24.0,4.075024194113265e-15,1.0187560485283162e-14,430.63220523589825,9.341707780656612e-35,2.335426945164153e-34,"[361.99846834702976, 499.26594212476675]",1.9288202261362688,2.2597072860567684e-124,5.649268215141921e-124,"[1.7694412106925186, 2.088199241580019]",16.63244944019485
10.0,24.0,1.6952310374705032e-22,1.695231037470503e-21,2356.2599758970405,4.981230406361385e-83,4.981230406361385e-82,"[2117.024038061968, 2595.495913732113]",-2.4457819892838684,0.0,0.0,"[-2.547314052928074, -2.3442499256396627]",9.34219903967176
