CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1(amp)_pvalue,Rain_pvalue
1,3.22347193071337e-06,9.613560386051691e-17,0.0006077213590932,0.0,3.82845463220427e-07,3.828454632518487e-07,1.0222830338936583e-10,0.836755163017985
2,5.89487787725496e-05,1.67523767591159e-05,0.0012398126746668,4.95365193309283e-10,1.1102230246251563e-16,1.841248895661896e-06,2.0479225242945056e-09,0.0304985579193095
3,4.11127838439995e-08,2.48363156235578e-07,0.0003942984444136,3.4416913763379904e-15,1.8412488956842663e-06,1.8053660641291106e-07,2.265700787237657e-11,0.0058828129674887
4,1.2302381335871398e-11,4.0690116283863304e-14,5.40706999285767e-07,0.0,1.805366064422387e-07,1.2846965829949356e-15,5.165233276345578e-37,0.727109396427345
5,1.28826838086127e-10,8.515977469860149e-12,2.31275039217493e-05,0.0,1.3322676295501878e-15,1.1634950781351368e-09,2.359533910443406e-16,0.0949139163429536
6,0.0,3.08002515233992e-23,1.40912675083982e-07,0.0,1.1634950780603504e-09,4.5278617458064195e-18,7.042019901645246e-50,0.888838431196382
7,2.1247448245276197e-12,1.25335145182413e-14,5.39477035266245e-07,0.0,1.1102230246251563e-16,1.4154514870219122e-13,1.702705527822068e-28,0.589927826350783
8,8.74189609589848e-12,7.27018109523295e-14,1.30613280224789e-06,0.0,1.4155343563970748e-13,2.281074607931075e-13,1.0025819179201649e-27,0.0463483897993527
9,7.105427357601e-15,5.88517581704396e-13,7.16454315874415e-07,0.0,2.281508315604697e-13,4.075024194113265e-15,9.341707780656612e-35,0.380097271854341
10,4.44089209850063e-16,1.44291909283506e-18,3.69287844748101e-08,0.0,4.107825191113079e-15,1.6952310374705032e-22,4.981230406361385e-83,0.361606741960878
