CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1(amp)_qvalue,Rain_qvalue
1,3.581635478570411e-06,3.204520128683897e-16,0.000675245954548,0.0,3.960470309176831e-07,4.253838480576097e-07,1.1358700376596204e-10,0.888838431196382
2,5.89487787725496e-05,1.67523767591159e-05,0.0012398126746668,4.95365193309283e-10,4.163336342344337e-16,1.841248895661896e-06,2.0479225242945056e-09,0.1524927895965475
3,5.139097980499938e-08,2.7595906248397554e-07,0.000492873055517,3.8241015292644334e-15,1.8412488956842663e-06,2.2567075801613882e-07,2.8321259840470715e-11,0.05882812967488699
4,2.0503968893119e-11,8.138023256772661e-14,1.3517674982144175e-06,0.0,1.9343207833097e-07,4.282321943316453e-15,1.7217444254485264e-36,0.888838431196382
5,1.8403834012303858e-10,1.0644971837325185e-11,3.3039291316784714e-05,0.0,3.633457171500512e-15,1.6621358259073383e-09,3.370762729204866e-16,0.237284790857384
6,0.0,3.08002515233992e-22,7.045633754199099e-07,0.0,1.5176022757308915e-09,2.26393087290321e-17,3.521009950822623e-49,0.888838431196382
7,5.311862061319049e-12,3.133378629560325e-14,1.3517674982144175e-06,0.0,4.163336342344337e-16,2.8309029740438244e-13,3.405411055644136e-28,0.8427540376439757
8,1.748379219179696e-11,1.211696849205492e-13,2.1768880037464834e-06,0.0,2.6541269182445154e-13,3.801791013218457e-13,1.6709698632002753e-27,0.154494632664509
9,2.368475785867e-14,8.407394024348515e-13,1.43290863174883e-06,0.0,3.6023815509547845e-13,1.0187560485283162e-14,2.3354269451641532e-34,0.6334954530905683
10,2.220446049250315e-15,7.2145954641753e-18,3.69287844748101e-07,0.0,9.479596594876335e-15,1.6952310374705028e-21,4.981230406361385e-82,0.6334954530905683
