"CycID","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"0","1","1","20","0","1.29273218359059","1","1","20","18.1493690332841","44.1074563039913","1","1","20","19.074684516642","42.1046987640122","1.32295619230988","0.0314206307406394"
"1","1","1","20","12","2.77861282673325","1","1","28","12.4218825903664","22.3612900274444","1","1","24","12.5236639672999","21.1995085796297","0.808766243916391","0.0381502354584542"
"2","1","1","20","0","2.62372713080452","1","1","28","15.9922538316622","33.9872566370341","1","1","24","18.8538230707124","32.6378582111119","0.496489066250438","0.0152120602718166"
"3","1","1","24","18","0.526957663663951","0.999999999743829","1","28","18.7158578777164","31.9488925808688","1","1","26","18.4395054432255","31.3585400014036","0.279345058901712","0.00890810155349096"
"4","1","1","20","12","0.432675837868659","1","1","28","23.9999526313781","15.6002235493709","1","1","24","17.4856939848763","13.3626956645455","0.605031076049156","0.0452776214648406"
"5","1","1","28","14","0.22484669326846","1","1","28","19.077165169827","27.0982337988217","1","1","28","16.5385825849135","26.8070165089179","0.193113172353054","0.00720382935149874"
"6","1","1","20","16","1.12245689258651","0.999999999879237","1","28","20.6603319497399","27.0004734808318","1","1","24","18.45442797846","25.9351476547414","0.508326936758235","0.0195999245319625"
"7","1","1","20","14","5.95212613501956","1","1","23.1594634873323","16.9756985765885","47.4513156449808","1","1","21.5797317436662","15.4617901318083","41.3303211430982","4.0866471799654","0.0988777020584035"
"8","1","1","24","0","0.409570261158473","1","1","20","18.8469374169152","49.6544089647247","1","1","22","21.3658155793034","49.4056435669493","0.236393627892363","0.00478474949065338"
"9","1","1","20","4","1.92900933146355","1","1","23.2983508245877","5.71360818478887","59.7821221349617","1","1","21.6491754122939","4.8195025537246","58.2146110257274","1.57129464263639","0.0269914135807241"
"10","1","1","28","24","1.60103267157939","1","1","28","12.0283879453797","30.4554545315034","1","1","28","18.0141939726898","30.7361168180214","0.404240782587872","0.0131519796394987"
"11","1","1","28","18","0.535043115044301","1","1","28","18.9770816582484","35.8978718419276","1","1","28","18.4885408291242","35.5498967851893","0.0906956180204164","0.00255122029097428"
"12","1","1","20","16","0.777970300630411","1","1","20","11.8564421438364","15.9995474766966","1","1","20","13.9282210719182","15.4441846395657","0.271102094798688","0.0175536683305485"
"13","1","1","28","14","0.16441923931193","1","1","28","18.7386905217981","20.840384627719","1","1","28","16.369345260899","20.6694145883821","0.139706734616545","0.0067591045706283"
"14","1","1","20","8","1.90874108056946","1","1","20","7.20795493975561","74.7415114602745","1","1","20","7.6039774698778","74.147231924859","0.508898109812143","0.00686334602926057"
"15","1","1","28","20","0.506698179302957","0.999999999999999","1","28","19.1390968531244","54.3960882406068","1","1","28","19.5695484265622","53.7796208517857","0.154965166578464","0.00288148492168699"
"16","1","1","20","6","1.03420543792957","1","1","28","8.14423551362345","60.404039744826","1","1","24","7.09038664869576","59.9513815507775","0.56589612877815","0.00943925084193179"
"17","1","1","20","10","0.320718298224286","1","1","28","8.37256485465563","35.8374886458787","1","1","24","9.5882420805667","35.7523701438453","0.075872313798692","0.0021221617893703"
"18","1","1","20","10","0.741396782845578","0.999999999998935","1","20","7.91444403642167","19.3926766933797","1","1","20","8.95722201821083","19.2345710057181","0.367700480030675","0.0191166457479797"
"19","1","1","20","6","2.06221158012809","1","1","20","6.76299871435158","34.5143526714362","1","1","20","6.38149935717579","33.0759124006441","1.1040146791625","0.0333782078568148"
"20","1","1","28","22","0.623923737970928","1","1","20","19.4885703702952","40.1494008235073","1","1","24","21.1217136507485","39.569932516046","0.5968752739175","0.0150840609514676"
"21","1","1","20","0","0.832058194255646","1","1","20","16.8544000282927","19.3343109884878","1","1","20","18.4272000141464","18.6720207522829","0.675296314816063","0.0361662148824196"
"22","1","1","24","18","0.228622039434031","1","1","28","18.9820725322404","37.7535191556806","1","1","26","18.5631051042545","37.3998235929893","0.0499167067892179","0.00133467759988512"
"23","1","1","28","18","3.21415777969382","1","1","28","23.9999526313781","103.06521226233","1","1","28","20.9999763156891","100.286728450229","0.321712135335787","0.00320792332452494"
"24","1","1","28","22","1.00927473408252","1","1","28","23.9999526313781","39.8277424797421","1","1","28","22.9999763156891","38.9194767815678","0.251865708035538","0.00647145668090845"
"25","1","1","28","22","1.31476318426755","1","1","20","14.7439548814655","65.6034759268083","1","1","24","18.2749443574507","65.1758581962788","0.464002929045947","0.00711924540599972"
"26","1","1","28","4","0.952180927179337","1","1","28","4.84198056911831","26.122363386786","1","1","28","4.42099028455915","25.0906842095536","0.164166207377942","0.00654291473308781"
"27","1","1","20","8","1.37984331318072","1","1","20","5.65997815823653","62.015569664915","1","1","20","6.82998907911827","61.4441563316278","0.456443499412424","0.00742859088094393"
"28","1","1","24","18","1.31790497894992","0.999999994020499","1","27.7996422182469","17.1969767958455","35.4078320482629","1","1","25.8998211091235","17.7233026086578","34.2867261938052","0.854894297761515","0.0249336811257289"
"29","1","1","20","16","0.256198954203222","1","1","28","12.0467184699556","2.30894371607736","1","1","24","14.7628793442667","2.25570795893484","0.297640110092947","0.131949753918275"
"30","1","1","20","6","0.638205787558336","1","1","28","8.11589249301272","57.1563859424013","1","1","24","7.07823963986259","56.9032144310796","0.308275290362352","0.0054175373648835"
"31","1","1","20","14","1.63317942164217","1","1","28","17.1353564459107","28.6533003806109","1","1","24","15.7437241911046","26.9918782024932","0.952291854410862","0.0352806813689201"
"32","1","1","20","0","0.572880195470974","1","1","28","4.77262471214414e-05","18.0088342798275","1","1","24","2.04541059091892e-05","17.6665458390965","0.273992024953705","0.0155090886158037"
"33","1","1","20","18","0.182513724318184","1","1","28","23.9999569124849","5.83232205755093","1","1","24","21.0856958196364","5.66429776822432","0.0142612447401113","0.00251774276771153"
"34","1","1","20","16","1.5856878469522","1","1","28","23.9999526313781","32.8301035357203","1","1","24","19.8856939848763","32.088551617125","1.00742006057035","0.0313949994562144"
"35","1","1","20","8","1.44208173299357","1","1","20","6.4538696019306","35.5809622220169","1","1","20","7.2269348009653","34.7187623333529","0.847545627469895","0.0244117465747243"
"36","1","1","28","26","1.32297676210617","1","1","20","6.20540042029885","133.254286996047","1","1","24","2.86609739503645","132.903369511149","0.989223240483241","0.00744317652834418"
"37","1","1","20","0","0.509422888835891","0.999999999986776","1","20","3.2601261111408","31.2747752904842","1","1","20","1.6300630555704","30.6354367464996","0.535142254150211","0.0174680798115717"
"38","1","1","20","10","0.755535533195596","1","1","20","7.82513882764536","31.2181248027869","1","1","20","8.91256941382268","30.8902929479522","0.238525322944246","0.00772169183847311"
"39","1","1","20","12","3.61139418713735","1","1","20","12.5097912435292","49.9210136731851","1","1","20","12.2548956217646","46.869847691854","3.30400385636844","0.0704931639225846"
"40","1","1","28","20","0.45743491977581","1","1","28","19.2978500889514","32.0465286109981","1","1","28","19.6489250444757","31.5518198013321","0.0387964648177948","0.00122961100380514"
"41","1","1","24","12","2.1352969128706","1","1","28","8.71087703809009","107.233800846479","1","1","26","10.5443357676847","105.485185972063","1.90387985424856","0.0180487889053235"
"42","1","1","20","0","1.81037303354934","1","1","20","15.9332447494931","24.816489616104","1","1","20","17.9666223747465","23.199910528936","1.05491128027437","0.0454704891623887"
"43","1","1","20","18","1.23206567270589","1","1","25.771144278607","13.5427355694068","20.1929478587278","1","1","22.8855721393035","16.3116912097205","19.6944352038704","0.634473066785476","0.0322158548959448"
"44","1","1","20","0","1.57680868606441","1","1","20.6924101198402","19.3592207982717","81.0176794566743","1","1","20.3462050599201","19.6907632055582","79.3613594503702","2.08727838054606","0.0263009403442914"
"45","1","1","20","6","1.94503659780298","0.999999999999992","1","20","5.95328815943213","50.7807065229675","1","1","20","5.97664407971607","49.723383650273","0.92658714244409","0.0186348368598806"
"46","1","1","24","0","1.77728742031885","1","1","20","16.8220636542518","58.2212052372874","1","1","22","20.2521350098385","56.2630660438538","1.2495263188912","0.0222086424852365"
"47","1","1","20","6","0.99076788430654","1","1","20","7.04791799534765","74.6425160611872","1","1","20","6.52395899767382","74.2198650786317","0.419363313208731","0.00565028396056015"
"48","1","1","20","10","0.39333259770652","1","1","20","8.19339304516598","31.3198001441362","1","1","20","9.09669652258299","31.179424088532","0.151324244144143","0.0048533367298404"
"49","1","1","28","14","0.747643282904013","1","1","28","18.7965511043911","48.6795401217476","1","1","28","16.3982755521955","47.9000910350286","0.603025500474568","0.0125892349564343"
"50","1","1","28","22","1.25075661990671","1","1","28","12.4785691491115","26.6867078478268","1","1","28","17.2392845745557","25.5653389692357","0.989216031038524","0.0386936403318926"
"51","1","1","20","0","0.979476912154348","1","1","20","18.3183294749224","18.1608394380806","1","1","20","19.1591647374612","16.921427022287","0.883663186910819","0.0522215523399389"
"52","1","1","20","10","1.77395748207592","1","1","20","9.54278251709076","34.2889040657148","1","1","20","9.77139125854538","33.4334384564582","1.20879939275814","0.0361554015550153"
"53","1","1","20","18","4.5567668810122","1","1","28","12.8319472698766","51.7366542003432","1","1","24","16.2994059728043","50.1429609855716","0.605062858086533","0.0120667556561057"
"54","1","1","28","10","1.79329378182411","0.999999999966802","1","28","8.26584545020705","72.8246863187909","1","1","28","9.13292272510353","70.9837620598893","2.20346496772354","0.0310418172238387"
"55","1","1","20","10","0.239207304717356","1","1","28","8.01948504054635","13.1664456592444","1","1","24","9.43692216023415","13.0616727370775","0.0496435382498611","0.00380070296118662"
"56","1","1","28","6","3.73955162673641","0.99999999992013","1","28","4.77262471214414e-05","34.6355423505841","1","1","28","3.00002386312356","29.5548838547286","1.51336820312238","0.0512053510533507"
"57","1","1","20","6","10.7528303772823","1","1","26.9324090121317","6.09095718340923","124.628929563892","1","1","23.4662045060658","6.17345578090862","115.432099359781","6.24723729799143","0.0541204511798745"
"58","1","1","28","10","2.05052847374333","1","1","28","5.7678342924478","144.157189323376","1","1","28","7.8839171462239","143.007327216007","0.496542468388862","0.00347214704347878"
"59","1","1","20","6","3.24079998275456","0.999999999999977","1","28","8.03408518314885","129.072408596602","1","1","24","7.04317936420665","125.583694682488","3.13963278790517","0.0250003218637823"
"60","1","1","20","8","0.802460485597157","1","1","20","8.14282011721767","40.0474368714131","1","1","20","8.07141005860883","39.5062245550831","0.638405969619481","0.0161596299522208"
"61","1","1","20","8","2.0985772297855","1","1","20","7.56573757736112","67.4414967955","1","1","20","7.78286878868056","66.0831517338778","1.03768623747346","0.0157027352698357"
"62","1","1","20","10","1.00673648226151","1","1","28","12.0375345677991","38.1214019515989","1","1","24","11.1589433861996","38.5113617024966","1.0421873976187","0.0270618163457756"
"63","1","1","20","16","11.9123016437001","1","1","20","12.4445540995026","304.515169798746","1","1","20","14.2222770497513","293.856921300694","15.8013431572127","0.0537722340766095"
